step,n_cumulative,t_seconds,telomere,centriolar,mito,epigenetic,proteostasis,tissue_load
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,604800.0,0.00004416495550992471,0.00042241878586847786,0.005,0.00015331964407939766,0.00017748973305954825,0.0014641309298162482
2,2.0,1209600.0,0.00010340657084188912,0.0008502329558916443,0.01000033080937714,0.0003216392881587953,0.00036534399515611015,0.002935296834524562
3,3.0,1814400.0,0.00017773333842402466,0.001283478023143395,0.015001017792660457,0.0005049599246663243,0.0005635811456005173,0.004413521094524875
4,4.0,2419200.0,0.0002671538272742639,0.0017221895372266662,0.020002086333730726,0.0007032826221237033,0.0007722196131816244,0.005898827135687492
5,5.0,3024000.0,0.0003716766830964427,0.002166403084479713,0.025003561835966033,0.0009166085252042931,0.0009912778962993711,0.007391238429503618
6,6.0,3628800.0,0.0004913106283768677,0.0026161542881827154,0.03000546972238754,0.001144938854791589,0.0012207745630982956,0.008890778493236226
7,7.0,4233600.0,0.0006260644624813507,0.003071478808764713,0.03500783543580543,0.0013882749080381493,0.001460728251601502,0.010397470890071252
8,8.0,4838400.0,0.0007759470617527107,0.0035324123440108736,0.04001068443896506,0.0016466180584249633,0.0017111576698450816,0.01191133922926914
9,9.0,5443200.0,0.000940967379608743,0.003998990629270088,0.04501404221469333,0.0019199697558212562,0.0019720815960129904,0.013432407166316728
10,10.0,6048000.0,0.0011211344466406582,0.004471249437662909,0.05001793426604516,0.0022083315265447336,0.0022435188785723814,0.014960698403079469
11,11.0,6652800.0,0.0013164573707119909,0.004949224580289807,0.05502238611645027,0.002511704973422267,0.0025254884364093962,0.01649623668795397
12,12.0,7257600.0,0.0015269453370579777,0.0054329519064397844,0.0600274233098601,0.0028300917758510152,0.0028180092589654123,0.01803904581602093
13,13.0,7862400.0,0.0017526076083854082,0.005922467303799307,0.06503307141089491,0.003163493689859993,0.003121100406373752,0.019589149629198367
14,14.0,8467200.0,0.001993453524972948,0.006417806698661587,0.07003935600499116,0.0035119125481720757,0.0034347810095968494,0.021146572016395217
15,15.0,9072000.0,0.002249492504771932,0.006919006056136198,0.07504630269854894,0.003875350260266447,0.0037590702705638827,0.02271133691366526
16,16.0,9676800.0,0.002520734043507636,0.0074261013803590395,0.08005393711907977,0.004253808812441491,0.004093987462308863,0.024283468304361434
17,17.0,10281600.0,0.0028071877147810204,0.007939128714702634,0.08506228491535452,0.004647290267878128,0.004439551929109192,0.02586299021929042
18,18.0,10886400.0,0.0031088631701709475,0.008458124141986776,0.0900713717575515,0.005055796766703589,0.004795783086624679,0.027449926736867688
19,19.0,11491200.0,0.0034257701393368783,0.008983123784689524,0.09508122333740483,0.005479330526055641,0.005162700422037028,0.029044301983272753
20,20.0,12096000.0,0.003757918430122045,0.009514163805158536,0.10009186536835293,0.005917893840147253,0.005540323494189786,0.03064614013260492
21,21.0,12700800.0,0.0041053179286571016,0.010051280405822755,0.10510332358568727,0.0063714890803317084,0.005928671933728767,0.03225546540703926
22,22.0,13305600.0,0.004467978599464254,0.010594509829404446,0.11011562374670134,0.006840118695168168,0.006327765443242933,0.03387230207698306
23,23.0,13910400.0,0.004845910485561867,0.011143888359131583,0.11512879163083975,0.007323785210487669,0.006737623797405754,0.03549667446123248
24,24.0,14515200.0,0.005239123708569555,0.011699452318950579,0.12014285303984765,0.007822491229459586,0.007158266843117035,0.037128606927129736
25,25.0,15120000.0,0.005647628468813753,0.012261238073739382,0.12515783379792023,0.008336239432658528,0.007589714499645214,0.038768123890720485
26,26.0,15724800.0,0.006071435045433767,0.012829282029520918,0.13017375975185252,0.008865032578131687,0.008031986758770131,0.04041524981691164
27,27.0,16329600.0,0.006510553796488315,0.013403620633676895,0.13519065677118944,0.009408873501466642,0.008485103684926276,0.04207000921962958
28,28.0,16934400.0,0.006964995159062542,0.013984290375161959,0.14020855074837585,0.009967765115859608,0.008949085415346508,0.04373242666197859
29,29.0,17539200.0,0.007434769649375524,0.014571327784718204,0.14522746759890706,0.010541710412184133,0.009423952160206249,0.045402526756399844
30,30.0,18144000.0,0.007919887862888261,0.01516476943509006,0.15024743326147946,0.011130712459060253,0.009909724202768155,0.04708033416483057
31,31.0,18748800.0,0.008420360474412155,0.01576465194123952,0.15526847369814128,0.01173477440292409,0.010406421899527268,0.04876587359886369
32,32.0,19353600.0,0.008936198238217967,0.016371011960561753,0.16029061489444374,0.012353899468097913,0.010914065680356643,0.050459169819907786
33,33.0,19958400.0,0.009467411988145272,0.01698388619310105,0.1653138828595922,0.012988090956860642,0.011432676048653457,0.05216024763934744
34,34.0,20563200.0,0.010014012637712405,0.017603311381767166,0.17033830362659771,0.013637352249518817,0.011962273581485602,0.05386913191870392
35,35.0,21168000.0,0.010576011180226884,0.018229324312552024,0.17536390325242873,0.014301686804478008,0.012502878929738748,0.05558584756979626
36,36.0,21772800.0,0.011153418688896334,0.018861961814746756,0.18039070781816297,0.014981098158314693,0.013054512818263907,0.05731041955490267
