tissue,i,j,rms_delta
HSC,CDATA,CDATA,0.0
HSC,CDATA,Telomere,0.541568654031866
HSC,CDATA,MitoROS,2.9625292291248604
HSC,CDATA,EpigeneticDrift,2.7460213953322645
HSC,CDATA,Proteostasis,2.2381226612352316
HSC,Telomere,Telomere,0.0
HSC,Telomere,MitoROS,2.420960575150948
HSC,Telomere,EpigeneticDrift,2.204452741377728
HSC,Telomere,Proteostasis,1.696554007252475
HSC,MitoROS,MitoROS,0.0
HSC,MitoROS,EpigeneticDrift,0.21650783386158123
HSC,MitoROS,Proteostasis,0.7244065678999242
HSC,EpigeneticDrift,EpigeneticDrift,0.0
HSC,EpigeneticDrift,Proteostasis,0.5078987341676401
HSC,Proteostasis,Proteostasis,0.0
Fibroblast,CDATA,CDATA,0.0
Fibroblast,CDATA,Telomere,0.49942006365972497
Fibroblast,CDATA,MitoROS,2.4567461446154066
Fibroblast,CDATA,EpigeneticDrift,2.240238310824638
Fibroblast,CDATA,Proteostasis,1.8795962143414882
Fibroblast,Telomere,Telomere,0.0
Fibroblast,Telomere,MitoROS,1.9573260810207749
Fibroblast,Telomere,EpigeneticDrift,1.7408182472553042
Fibroblast,Telomere,Proteostasis,1.380176150735894
Fibroblast,MitoROS,MitoROS,0.0
Fibroblast,MitoROS,EpigeneticDrift,0.21650783386158123
Fibroblast,MitoROS,Proteostasis,0.577149930286804
Fibroblast,EpigeneticDrift,EpigeneticDrift,0.0
Fibroblast,EpigeneticDrift,Proteostasis,0.3606420965839387
Fibroblast,Proteostasis,Proteostasis,0.0
Neuron,CDATA,CDATA,0.0
Neuron,CDATA,Telomere,0.44355281531324103
Neuron,CDATA,MitoROS,0.01819185440680996
Neuron,CDATA,EpigeneticDrift,0.30656989664558754
Neuron,CDATA,Proteostasis,0.22007758160943744
Neuron,Telomere,Telomere,0.0
Neuron,Telomere,MitoROS,0.42536096116262506
Neuron,Telomere,EpigeneticDrift,0.75012271194912
Neuron,Telomere,Proteostasis,0.22347523372188707
Neuron,MitoROS,MitoROS,0.0
Neuron,MitoROS,EpigeneticDrift,0.3247617507903437
Neuron,MitoROS,Proteostasis,0.20188572744161695
Neuron,EpigeneticDrift,EpigeneticDrift,0.0
Neuron,EpigeneticDrift,Proteostasis,0.5266474782307954
Neuron,Proteostasis,Proteostasis,0.0
Cardiomyocyte,CDATA,CDATA,0.0
Cardiomyocyte,CDATA,Telomere,0.44355281531324103
Cardiomyocyte,CDATA,MitoROS,0.01819185440680996
Cardiomyocyte,CDATA,EpigeneticDrift,0.30656989664558754
Cardiomyocyte,CDATA,Proteostasis,0.22007758160943744
Cardiomyocyte,Telomere,Telomere,0.0
Cardiomyocyte,Telomere,MitoROS,0.42536096116262506
Cardiomyocyte,Telomere,EpigeneticDrift,0.75012271194912
Cardiomyocyte,Telomere,Proteostasis,0.22347523372188707
Cardiomyocyte,MitoROS,MitoROS,0.0
Cardiomyocyte,MitoROS,EpigeneticDrift,0.3247617507903437
Cardiomyocyte,MitoROS,Proteostasis,0.20188572744161695
Cardiomyocyte,EpigeneticDrift,EpigeneticDrift,0.0
Cardiomyocyte,EpigeneticDrift,Proteostasis,0.5266474782307954
Cardiomyocyte,Proteostasis,Proteostasis,0.0
Hepatocyte,CDATA,CDATA,0.0
Hepatocyte,CDATA,Telomere,0.49942006365972497
Hepatocyte,CDATA,MitoROS,2.4567461446154066
Hepatocyte,CDATA,EpigeneticDrift,2.240238310824638
Hepatocyte,CDATA,Proteostasis,1.8795962143414882
Hepatocyte,Telomere,Telomere,0.0
Hepatocyte,Telomere,MitoROS,1.9573260810207749
Hepatocyte,Telomere,EpigeneticDrift,1.7408182472553042
Hepatocyte,Telomere,Proteostasis,1.380176150735894
Hepatocyte,MitoROS,MitoROS,0.0
Hepatocyte,MitoROS,EpigeneticDrift,0.21650783386158123
Hepatocyte,MitoROS,Proteostasis,0.577149930286804
Hepatocyte,EpigeneticDrift,EpigeneticDrift,0.0
Hepatocyte,EpigeneticDrift,Proteostasis,0.3606420965839387
Hepatocyte,Proteostasis,Proteostasis,0.0
IntestinalCrypt,CDATA,CDATA,0.0
IntestinalCrypt,CDATA,Telomere,0.5470561172328908
IntestinalCrypt,CDATA,MitoROS,3.7356377114751163
IntestinalCrypt,CDATA,EpigeneticDrift,3.5624314444388747
IntestinalCrypt,CDATA,Proteostasis,2.75851953556477
IntestinalCrypt,Telomere,Telomere,0.0
IntestinalCrypt,Telomere,MitoROS,3.1885815942767715
IntestinalCrypt,Telomere,EpigeneticDrift,3.015375327249124
IntestinalCrypt,Telomere,Proteostasis,2.21146341836214
IntestinalCrypt,MitoROS,MitoROS,0.0
IntestinalCrypt,MitoROS,EpigeneticDrift,0.1732062670889556
IntestinalCrypt,MitoROS,Proteostasis,0.9771181759152573
IntestinalCrypt,EpigeneticDrift,EpigeneticDrift,0.0
IntestinalCrypt,EpigeneticDrift,Proteostasis,0.8039119089020028
IntestinalCrypt,Proteostasis,Proteostasis,0.0
